TIPO DE INSTITUTO;NIVEL DE FORMACION;CAMPO AMPLIO;CAMPO ESPECIFICO;CAMPO DETALLADO;NOMBRE DEL PROGRAMA
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;mecanica y profesiones afines a la metalisteria;tecnico profesional en mecanica de motos
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnica profesional en mercadeo y ventas
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;tecnica profesional en procesos contables
privado;formacion tecnica profesional;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnica profesional en procesos de comunicacion digital
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnica profesional en procesos de mercadeo
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnica profesional en procesos de programacion de software
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnica profesional en procesos de talento humano
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnica profesional en procesos logisticos
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnica profesional en programacion de software
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;mercadotecnia y publicidad;tecnico profesional en operacion de comercio exterior
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnologia en gestion de software y sistemas
privado;universitario;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;administracion agropecuaria
privado;universitario;servicios;servicios personales;hoteleria, restaurantes y servicios de banquetes;gastronomia
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria en seguridad y salud en el trabajo
privado;formacion tecnica profesional;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnica profesional en construccion de obra
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnica profesional en implementacion de sistemas de telecomunicaciones
privado;formacion tecnica profesional;ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;tecnica profesional en seguridad e higiene industrial
privado;formacion tecnica profesional;ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;tecnica profesional en seguridad y salud en eltrabajo
privado;universitario;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion  y la comunicacion (tic) no clasificada en otra parte;ingenieria en inteligencia artificial y ciencia de datos
privado;universitario;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;ingenieria en seguridad y salud para el trabajo
privado;universitario;servicios;servicios personales;hoteleria, restaurantes y servicios de banquetes;profesional en gastronomia
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnica profesional en instalacion y mantenimiento de redes de telecomunicaciones
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en manejo de la prevencion de riesgos laborales
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en operacion de procesos de produccion
privado;formacion tecnica profesional;servicios;servicios personales;hoteleria, restaurantes y servicios de banquetes;tecnica profesional en operacion gastronomica y de bebidas
privado;formacion tecnica profesional;arte y humanidades;artes;diseno industrial, de moda e interiores;tecnica profesional en procesos de diseno grafico
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnica profesional en procesos de electronica industrial
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnica profesional en procesos gastronomicos y de bebidas
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;desarrollo y analisis de software y aplicaciones;tecnica profesional en soporte de sistemas informaticos
privado;formacion tecnica profesional;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;uso de computadores;tecnica profesional en soporte de sistemas informaticos y de comunicaciones
privado;tecnologico;arte y humanidades;artes;tecnicas audiovisuales y produccion para medios de comunicacion;tecnologia en desarrollo de la produccion grafica y digital
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;contabilidad e impuestos;tecnologia en gestion contable
privado;tecnologico;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;tecnologia en gestion de comercio internacional
privado;tecnologico;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion y la comunicacion tic;tecnologias de la informacion  y la comunicacion (tic) no clasificada en otra parte;tecnologia en gestion de datos
privado;tecnologico;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnologia en gestion de la produccion y calidad
privado;tecnologico;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnologia en gestion gastronomica y de bebidas
privado;tecnologico;ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;programas y certificaciones interdisciplinarios relativos a ingenieria, industria y construccion;tecnologia en seguridad e higiene ocupacional
privado;formacion tecnica profesional;ingenieria, industria y construccion;arquitectura y construccion;construccion e ingenieria civil;tecnica profesional en construccion
privado;formacion tecnica profesional;salud y bienestar;salud;enfermeria y parteria;tecnica profesional en enfermeria
privado;formacion tecnica profesional;administracion de empresas y derecho;educacion comercial y administracion;gestion y administracion;tecnica profesional en gestion de bares y restaurantes
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en mantenimiento y comercializacion de equipos biomedicos
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;ingenieria y profesiones afines no clasificadas en otra parte;tecnica profesional en produccion de petroleo y gas
privado;formacion tecnica profesional;ingenieria, industria y construccion;ingenieria y profesiones afines;electronica y automatizacion;tecnica profesional en telecomunicaciones
privado;formacion tecnica profesional;servicios;servicios personales;viajes, turismo y actividades recreativas;tecnica profesional en turismo
privado;formacion tecnica profesional;ciencias sociales, periodismo e informacion;ciencias sociales y del comportamiento;economia;tecnico profesional en comercio y negocios internacionales
